subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
em_te_ 1997_10_01_473_f 1017 3 1 0 66 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 639 24-Feb-2022 10:14:34 -2.351879e+02 -4.389059e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 2 0 6 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/1_noeffect.mov 543 24-Feb-2022 10:14:37 -3.186000e+02 2.744204e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 3 0 28 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 690 24-Feb-2022 10:14:40 -4.165892e+02 1.414536e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 4 0 17 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/2_noeffect.mov 550 24-Feb-2022 10:15:05 1.898939e+02 2.285666e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 5 0 35 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/5_noeffect.mov 513 24-Feb-2022 10:15:08 4.970625e+02 3.047936e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 6 0 11 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/2_noeffect.mov 725 24-Feb-2022 10:15:11 -1.502991e+02 3.545953e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 7 0 54 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/7_noeffect.mov 462 24-Feb-2022 10:15:13 -1.641481e+02 2.394543e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 8 0 4 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/1_noeffect.mov 655 24-Feb-2022 10:15:38 1.567299e+02 -2.257555e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 9 0 73 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 426 24-Feb-2022 10:15:41 2.977462e+02 4.782387e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 10 0 71 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 497 24-Feb-2022 10:15:44 4.727147e+02 7.747727e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 11 0 37 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/5_noeffect.mov 367 24-Feb-2022 10:15:47 1.498109e+02 6.210358e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 12 0 39 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/5_noeffect.mov 704 24-Feb-2022 10:16:03 4.165561e+02 4.841876e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 13 0 3 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/1_noeffect.mov 430 24-Feb-2022 10:16:06 3.187919e+02 1.108299e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 14 0 57 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/8_noeffect.mov 780 24-Feb-2022 10:16:09 -3.608226e+02 -4.864497e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 15 0 10 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/2_noeffect.mov 494 24-Feb-2022 10:16:12 1.724827e+02 3.219947e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 16 0 44 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/6_noeffect.mov 906 24-Feb-2022 10:16:27 -4.294192e+02 1.716084e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 17 0 75 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 469 24-Feb-2022 10:16:30 2.000812e+02 8.495425e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 18 0 68 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 681 24-Feb-2022 10:16:33 -3.913450e+02 -4.041662e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 19 0 30 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 558 24-Feb-2022 10:16:36 -4.018028e+02 -3.200521e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 20 0 29 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 597 24-Feb-2022 10:16:53 2.538990e+02 7.882652e-01 0 1
em_te_ 1997_10_01_473_f 1017 3 21 0 79 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 462 24-Feb-2022 10:16:55 1.118056e+02 1.387228e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 22 0 59 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/8_noeffect.mov 500 24-Feb-2022 10:16:58 7.585391e+01 -3.625762e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 23 0 32 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 593 24-Feb-2022 10:17:01 -2.504900e+02 7.448416e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 24 0 60 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/8_noeffect.mov 878 24-Feb-2022 10:17:22 -2.344829e+02 -2.015047e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 25 0 40 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/5_noeffect.mov 410 24-Feb-2022 10:17:25 -1.433601e+02 -3.353658e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 26 0 9 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/2_noeffect.mov 499 24-Feb-2022 10:17:28 1.266805e+02 2.475716e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 27 0 38 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/5_noeffect.mov 557 24-Feb-2022 10:17:31 -3.900516e+02 -1.217495e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 28 0 67 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 639 24-Feb-2022 10:17:53 1.131491e+02 2.770203e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 29 0 65 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 525 24-Feb-2022 10:17:55 2.762471e+02 1.746785e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 30 0 25 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 441 24-Feb-2022 10:17:58 1.564295e+02 -9.336396e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 31 0 43 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/6_noeffect.mov 435 24-Feb-2022 10:18:01 2.724264e+02 -4.248587e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 32 0 51 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/7_noeffect.mov 625 24-Feb-2022 10:18:20 3.253075e+02 4.316305e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 33 0 26 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 605 24-Feb-2022 10:18:23 3.984279e+02 2.436156e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 34 0 18 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/2_noeffect.mov 604 24-Feb-2022 10:18:26 -4.649850e+02 1.803752e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 35 0 50 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/7_noeffect.mov 514 24-Feb-2022 10:18:29 -4.137300e+02 -2.897438e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 36 0 76 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 679 24-Feb-2022 10:18:50 -1.736077e+02 -3.314363e+02 0 1
em_te_ 1997_10_01_473_f 1017 3 37 0 46 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/6_noeffect.mov 479 24-Feb-2022 10:18:53 1.115229e+02 2.441314e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 38 0 55 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/7_noeffect.mov 340 24-Feb-2022 10:18:56 -1.125342e+01 -5.282986e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 39 0 31 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/4_noeffect.mov 471 24-Feb-2022 10:18:59 4.866074e+01 -2.670568e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 40 0 49 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/7_noeffect.mov 571 24-Feb-2022 10:19:18 -2.554181e+02 2.330161e+00 0 1
em_te_ 1997_10_01_473_f 1017 3 41 0 69 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/9_noeffect.mov 626 24-Feb-2022 10:19:21 4.452658e+02 -2.724120e+01 0 0
em_te_ 1997_10_01_473_f 1017 3 42 0 12 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/2_noeffect.mov 443 24-Feb-2022 10:19:23 3.598844e+01 3.052261e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 43 0 53 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/7_noeffect.mov 487 24-Feb-2022 10:19:26 2.223491e+02 -2.689821e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 44 0 47 -45 45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/6_noeffect.mov 621 24-Feb-2022 10:19:41 3.795961e+02 6.470265e+01 0 1
em_te_ 1997_10_01_473_f 1017 3 45 0 45 45 45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/6_noeffect.mov 369 24-Feb-2022 10:19:44 3.111278e+02 -2.181029e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 46 0 62 45 -45 right 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/8_noeffect.mov 562 24-Feb-2022 10:19:47 -3.546825e+00 4.436862e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 47 0 36 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/5_noeffect.mov 445 24-Feb-2022 10:19:49 1.774397e+02 -1.850626e+02 0 0
em_te_ 1997_10_01_473_f 1017 3 48 0 64 -45 -45 left 1 3 /Users/corrado/Documents/experiments/2019/surprise/stim/8_noeffect.mov 553 24-Feb-2022 10:20:10 6.568260e+01 -1.583520e+02 0 1
