subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
sa_pr_ 1998_11_29_011_f 894 3 1 1 29 45 45 NORESP 0 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 3000 14-May-2019 15:09:17 1.055232e+01 4.776371e+02 0 1
sa_pr_ 1998_11_29_011_f 894 3 2 1 1 45 45 NORESP 0 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 2999 14-May-2019 15:09:22 -4.489408e+01 1.922166e+00 1 0
sa_pr_ 1998_11_29_011_f 894 3 3 1 67 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 2337 14-May-2019 15:09:27 2.102051e+02 -1.025079e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 4 1 53 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 1401 14-May-2019 15:09:47 -3.353036e+02 -1.026234e+02 0 1
sa_pr_ 1998_11_29_011_f 894 3 5 1 24 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 1058 14-May-2019 15:09:50 -3.213113e+02 -7.548237e+01 0 0
sa_pr_ 1998_11_29_011_f 894 3 6 1 36 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 720 14-May-2019 15:09:53 3.155259e+02 -2.742294e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 7 1 57 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 957 14-May-2019 15:09:57 -3.344496e+01 4.623809e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 8 1 3 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 1077 14-May-2019 15:10:22 1.732389e+02 -3.931624e+02 1 1
sa_pr_ 1998_11_29_011_f 894 3 9 1 34 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 778 14-May-2019 15:10:25 5.071970e+01 -1.847071e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 10 1 44 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 787 14-May-2019 15:10:28 2.283003e+02 -3.705283e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 11 1 58 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 581 14-May-2019 15:10:31 -4.407002e+02 -1.940954e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 12 1 56 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 855 14-May-2019 15:10:50 -2.808754e+02 1.720577e+02 0 1
sa_pr_ 1998_11_29_011_f 894 3 13 1 66 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 553 14-May-2019 15:10:53 4.036927e+01 -3.850971e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 14 1 54 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 560 14-May-2019 15:10:56 -1.270872e+02 -1.982811e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 15 1 17 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 453 14-May-2019 15:10:59 9.696639e+01 -3.068167e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 16 1 62 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 707 14-May-2019 15:11:20 1.355960e+02 -1.441307e+01 0 1
sa_pr_ 1998_11_29_011_f 894 3 17 1 16 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 725 14-May-2019 15:11:23 1.440283e+02 -3.361812e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 18 1 36 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 601 14-May-2019 15:11:26 6.067582e+01 4.743540e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 19 1 28 -45 -45 right 0 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 465 14-May-2019 15:11:29 -2.321784e+02 -1.500270e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 20 1 2 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 724 14-May-2019 15:11:54 -2.859127e+02 2.081462e+02 1 1
sa_pr_ 1998_11_29_011_f 894 3 21 1 8 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 749 14-May-2019 15:11:57 2.887729e+02 2.561641e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 22 1 40 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 592 14-May-2019 15:12:00 1.968534e+02 2.577156e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 23 1 14 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 584 14-May-2019 15:12:03 -1.142924e+02 3.018649e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 24 1 50 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 927 14-May-2019 15:12:22 3.135424e+02 1.878389e+02 1 1
sa_pr_ 1998_11_29_011_f 894 3 25 1 47 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 745 14-May-2019 15:12:25 -4.501937e+02 -3.279346e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 26 1 72 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 862 14-May-2019 15:12:29 -6.757181e+01 -4.196118e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 27 1 7 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 582 14-May-2019 15:12:32 1.820905e+02 -3.704385e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 28 1 43 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 687 14-May-2019 15:12:47 3.356831e+01 -4.243118e+02 1 1
sa_pr_ 1998_11_29_011_f 894 3 29 1 45 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 499 14-May-2019 15:12:50 -3.356533e+02 9.295212e+01 0 0
sa_pr_ 1998_11_29_011_f 894 3 30 1 65 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 634 14-May-2019 15:12:53 -3.565034e+02 2.135528e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 31 1 30 45 -45 left 0 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 645 14-May-2019 15:12:56 4.824410e+02 -1.858831e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 32 1 69 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 1174 14-May-2019 15:13:18 2.862310e+02 1.176306e+02 0 1
sa_pr_ 1998_11_29_011_f 894 3 33 1 25 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 627 14-May-2019 15:13:21 -8.566715e+00 -4.946539e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 34 1 19 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 785 14-May-2019 15:13:24 4.427776e+02 -2.327134e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 35 1 37 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 651 14-May-2019 15:13:27 4.755985e+02 4.902144e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 36 1 55 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 1021 14-May-2019 15:13:46 -1.752468e+02 2.509882e+02 0 1
sa_pr_ 1998_11_29_011_f 894 3 37 1 23 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 692 14-May-2019 15:13:49 -1.636350e+02 2.864285e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 38 1 26 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 602 14-May-2019 15:13:52 3.425044e+02 3.701972e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 39 1 32 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 595 14-May-2019 15:13:55 -2.950167e+02 3.703382e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 40 1 12 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 868 14-May-2019 15:14:21 8.623211e+01 4.222000e+02 1 1
sa_pr_ 1998_11_29_011_f 894 3 41 1 20 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 823 14-May-2019 15:14:24 -1.603294e+02 -2.614399e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 42 1 31 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 812 14-May-2019 15:14:27 -2.822679e+02 -1.038220e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 43 1 41 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 781 14-May-2019 15:14:30 1.592255e+02 1.641321e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 44 1 59 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 989 14-May-2019 15:14:52 -4.259975e+02 4.102101e+01 1 1
sa_pr_ 1998_11_29_011_f 894 3 45 1 49 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 687 14-May-2019 15:14:55 4.304904e+02 -2.632803e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 46 1 46 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 636 14-May-2019 15:14:58 3.538989e+02 -2.342267e+02 0 0
sa_pr_ 1998_11_29_011_f 894 3 47 1 27 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 749 14-May-2019 15:15:01 -2.320749e+02 1.487392e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 48 1 42 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 1771 14-May-2019 15:15:17 4.849198e+02 1.336505e+02 1 1
sa_pr_ 1998_11_29_011_f 894 3 49 1 9 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 797 14-May-2019 15:15:20 -3.050372e+02 -1.283413e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 50 1 10 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 484 14-May-2019 15:15:23 2.140409e+02 -1.167472e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 51 1 68 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 788 14-May-2019 15:15:26 1.988717e+02 -3.331469e+02 1 0
sa_pr_ 1998_11_29_011_f 894 3 52 1 33 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 834 14-May-2019 15:15:43 -4.018735e+02 -2.601528e+02 1 1
