subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
ga_ma_1997_04_05_459_f 742 3 1 1 54 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 670 15-Apr-2019 11:46:03 1.559861e+02 2.698409e+02 0 1
ga_ma_1997_04_05_459_f 742 3 2 1 26 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 525 15-Apr-2019 11:46:05 -1.207068e+01 -4.629965e+02 1 0
ga_ma_1997_04_05_459_f 742 3 3 1 13 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 523 15-Apr-2019 11:46:08 5.442838e+01 4.656783e+02 0 0
ga_ma_1997_04_05_459_f 742 3 4 1 2 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 684 15-Apr-2019 11:46:33 1.055440e+02 -2.340039e+02 1 1
ga_ma_1997_04_05_459_f 742 3 5 1 14 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 499 15-Apr-2019 11:46:36 3.149856e+02 1.045898e+02 0 0
ga_ma_1997_04_05_459_f 742 3 6 1 51 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 749 15-Apr-2019 11:46:39 -4.373541e+02 2.293177e+02 1 0
ga_ma_1997_04_05_459_f 742 3 7 1 67 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 469 15-Apr-2019 11:46:42 1.251209e+02 4.430017e+02 1 0
ga_ma_1997_04_05_459_f 742 3 8 1 39 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 658 15-Apr-2019 11:46:59 -2.545266e+02 -2.106837e+02 0 1
ga_ma_1997_04_05_459_f 742 3 9 1 60 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 426 15-Apr-2019 11:47:01 1.670327e+02 -1.660004e+02 1 0
ga_ma_1997_04_05_459_f 742 3 10 1 45 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 746 15-Apr-2019 11:47:04 -9.640608e+01 -7.990428e+01 0 0
ga_ma_1997_04_05_459_f 742 3 11 1 58 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 598 15-Apr-2019 11:47:07 -4.990035e+02 3.998039e+02 1 0
ga_ma_1997_04_05_459_f 742 3 12 1 48 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 653 15-Apr-2019 11:47:22 2.335067e+02 3.062041e+02 0 1
ga_ma_1997_04_05_459_f 742 3 13 1 23 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 549 15-Apr-2019 11:47:25 -2.105526e+02 -3.549937e+02 0 0
ga_ma_1997_04_05_459_f 742 3 14 1 1 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 601 15-Apr-2019 11:47:28 -2.917328e+02 -1.143563e+02 1 0
ga_ma_1997_04_05_459_f 742 3 15 1 3 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 748 15-Apr-2019 11:47:31 -3.735462e+02 -2.687503e+02 1 0
ga_ma_1997_04_05_459_f 742 3 16 1 32 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 663 15-Apr-2019 11:47:48 -3.360415e+01 3.840255e+02 0 1
ga_ma_1997_04_05_459_f 742 3 17 1 10 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 582 15-Apr-2019 11:47:51 -4.062962e+02 7.523571e+01 1 0
ga_ma_1997_04_05_459_f 742 3 18 1 49 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 476 15-Apr-2019 11:47:54 -8.861840e+01 2.081060e+02 1 0
ga_ma_1997_04_05_459_f 742 3 19 1 53 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 621 15-Apr-2019 11:47:57 2.032734e+02 -2.635522e+02 0 0
ga_ma_1997_04_05_459_f 742 3 20 1 37 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 1489 15-Apr-2019 11:48:14 2.094388e+02 5.239611e+01 0 1
ga_ma_1997_04_05_459_f 742 3 21 1 41 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 523 15-Apr-2019 11:48:17 -3.582898e+02 4.343987e+02 1 0
ga_ma_1997_04_05_459_f 742 3 22 1 38 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 549 15-Apr-2019 11:48:20 1.942230e+02 2.243009e+02 0 0
ga_ma_1997_04_05_459_f 742 3 23 1 9 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 676 15-Apr-2019 11:48:23 3.224027e+02 1.112272e+02 1 0
ga_ma_1997_04_05_459_f 742 3 24 1 25 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 846 15-Apr-2019 11:48:40 3.486199e+01 2.928473e+02 1 1
ga_ma_1997_04_05_459_f 742 3 25 1 12 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 730 15-Apr-2019 11:48:43 -3.584422e+02 1.895101e+02 1 0
ga_ma_1997_04_05_459_f 742 3 26 1 52 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 760 15-Apr-2019 11:48:46 4.997268e+02 -3.563159e+02 1 0
ga_ma_1997_04_05_459_f 742 3 27 1 63 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 523 15-Apr-2019 11:48:49 5.338267e+01 2.428309e+02 0 0
ga_ma_1997_04_05_459_f 742 3 28 1 29 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 1212 15-Apr-2019 11:49:06 -2.897973e+01 2.169544e+02 0 1
ga_ma_1997_04_05_459_f 742 3 29 1 42 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 497 15-Apr-2019 11:49:09 -1.248580e+02 -2.641034e+02 1 0
ga_ma_1997_04_05_459_f 742 3 30 1 70 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 558 15-Apr-2019 11:49:12 -3.931570e+02 4.983347e+02 0 0
ga_ma_1997_04_05_459_f 742 3 31 1 15 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 899 15-Apr-2019 11:49:15 -4.297734e+01 -3.113181e+02 0 0
ga_ma_1997_04_05_459_f 742 3 32 1 5 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 1152 15-Apr-2019 11:49:41 -3.179272e+02 -1.995975e+02 1 1
ga_ma_1997_04_05_459_f 742 3 33 1 4 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 827 15-Apr-2019 11:49:44 2.376673e+02 -4.012388e+02 1 0
ga_ma_1997_04_05_459_f 742 3 34 1 64 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 577 15-Apr-2019 11:49:47 4.835775e+02 3.812190e+02 0 0
ga_ma_1997_04_05_459_f 742 3 35 1 68 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 399 15-Apr-2019 11:49:50 3.046048e+01 -1.244246e+02 1 0
ga_ma_1997_04_05_459_f 742 3 36 1 50 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 2787 15-Apr-2019 11:50:21 -4.010956e+02 -4.548446e+02 1 1
ga_ma_1997_04_05_459_f 742 3 37 1 27 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 624 15-Apr-2019 11:50:24 4.664627e+02 -1.127137e+02 1 0
ga_ma_1997_04_05_459_f 742 3 38 1 17 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 562 15-Apr-2019 11:50:27 -2.411061e+01 -2.987929e+02 1 0
ga_ma_1997_04_05_459_f 742 3 39 1 7 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 743 15-Apr-2019 11:50:30 -3.235692e+02 -3.349737e+02 1 0
ga_ma_1997_04_05_459_f 742 3 40 1 57 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 792 15-Apr-2019 11:50:51 4.594971e+02 3.440805e+02 1 1
ga_ma_1997_04_05_459_f 742 3 41 1 56 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 549 15-Apr-2019 11:50:54 4.857565e+02 3.022146e+02 0 0
ga_ma_1997_04_05_459_f 742 3 42 1 65 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 491 15-Apr-2019 11:50:57 -1.664591e+02 1.881397e+02 1 0
ga_ma_1997_04_05_459_f 742 3 43 1 61 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 553 15-Apr-2019 11:50:59 7.588520e+01 -2.604069e+02 0 0
ga_ma_1997_04_05_459_f 742 3 44 1 44 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 856 15-Apr-2019 11:51:15 4.788683e+02 2.745235e+02 1 1
ga_ma_1997_04_05_459_f 742 3 45 1 36 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 519 15-Apr-2019 11:51:18 1.503500e+01 -4.006695e+02 1 0
ga_ma_1997_04_05_459_f 742 3 46 1 72 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 523 15-Apr-2019 11:51:20 -2.529569e+02 3.947072e+02 0 0
ga_ma_1997_04_05_459_f 742 3 47 1 36 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 972 15-Apr-2019 11:51:24 4.703166e+02 -3.315379e+02 1 0
ga_ma_1997_04_05_459_f 742 3 48 1 8 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 673 15-Apr-2019 11:51:49 3.366394e+02 -4.313654e+02 1 1
ga_ma_1997_04_05_459_f 742 3 49 1 46 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 558 15-Apr-2019 11:51:51 -3.645722e+02 -3.457343e+02 0 0
ga_ma_1997_04_05_459_f 742 3 50 1 34 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 452 15-Apr-2019 11:51:54 1.040207e+02 -2.829892e+02 1 0
ga_ma_1997_04_05_459_f 742 3 51 1 55 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 499 15-Apr-2019 11:51:57 2.406734e+02 5.395610e+01 0 0
ga_ma_1997_04_05_459_f 742 3 52 1 59 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 716 15-Apr-2019 11:52:18 1.487097e+02 4.067334e+02 1 1
ga_ma_1997_04_05_459_f 742 3 53 1 30 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 461 15-Apr-2019 11:52:21 -3.485075e+01 1.470857e+02 0 0
ga_ma_1997_04_05_459_f 742 3 54 1 6 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 518 15-Apr-2019 11:52:24 2.314717e+02 -1.087846e+00 1 0
ga_ma_1997_04_05_459_f 742 3 55 1 11 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 672 15-Apr-2019 11:52:27 -2.969719e+02 2.210147e+02 1 0
ga_ma_1997_04_05_459_f 742 3 56 1 43 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 731 15-Apr-2019 11:52:42 -3.911951e+02 5.196262e+01 1 1
ga_ma_1997_04_05_459_f 742 3 57 1 33 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 598 15-Apr-2019 11:52:45 -1.996789e+02 4.236545e+02 1 0
ga_ma_1997_04_05_459_f 742 3 58 1 28 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 695 15-Apr-2019 11:52:48 -4.728336e+02 1.611571e+02 1 0
ga_ma_1997_04_05_459_f 742 3 59 1 40 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 461 15-Apr-2019 11:52:51 -2.357709e+02 -2.396261e+01 0 0
ga_ma_1997_04_05_459_f 742 3 60 1 62 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 678 15-Apr-2019 11:53:12 2.034752e+02 4.064187e+02 0 1
ga_ma_1997_04_05_459_f 742 3 61 1 66 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 578 15-Apr-2019 11:53:14 -4.229212e+02 -3.518131e+02 1 0
ga_ma_1997_04_05_459_f 742 3 62 1 20 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 724 15-Apr-2019 11:53:18 -4.904579e+02 -1.986688e+02 1 0
ga_ma_1997_04_05_459_f 742 3 63 1 16 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 514 15-Apr-2019 11:53:20 -7.357749e+01 -3.204504e+02 0 0
