subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
gi_re_1997_03_22_193_f 759 3 29 1 36 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 1238 15-Apr-2019 16:49:47 -3.311745e+02 -1.670222e+02 1 0
gi_re_1997_03_22_193_f 759 3 30 1 37 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 609 15-Apr-2019 16:49:50 1.162414e+02 3.994194e+02 0 0
gi_re_1997_03_22_193_f 759 3 31 1 17 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 1228 15-Apr-2019 16:49:54 -3.709774e+02 -3.983820e+01 1 0
gi_re_1997_03_22_193_f 759 3 32 1 54 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 797 15-Apr-2019 16:50:13 4.765113e+02 -3.388724e+02 0 1
gi_re_1997_03_22_193_f 759 3 33 1 49 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 939 15-Apr-2019 16:50:16 -4.720536e+02 3.663331e+01 1 0
gi_re_1997_03_22_193_f 759 3 34 1 23 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 861 15-Apr-2019 16:50:19 7.329857e+01 2.625576e+02 0 0
gi_re_1997_03_22_193_f 759 3 35 1 3 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 2501 15-Apr-2019 16:50:24 -6.188661e+00 -2.684108e+02 1 0
gi_re_1997_03_22_193_f 759 3 36 1 15 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 1293 15-Apr-2019 16:50:49 -1.444208e+02 -3.075454e+02 0 1
gi_re_1997_03_22_193_f 759 3 37 1 36 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 863 15-Apr-2019 16:50:53 -4.857940e+02 -1.184581e+02 1 0
gi_re_1997_03_22_193_f 759 3 38 1 43 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 839 15-Apr-2019 16:50:56 1.818980e+01 -1.014534e+02 1 0
gi_re_1997_03_22_193_f 759 3 39 1 50 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 766 15-Apr-2019 16:50:59 2.128379e+02 6.212592e+01 1 0
gi_re_1997_03_22_193_f 759 3 40 1 71 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 1728 15-Apr-2019 16:51:22 -4.921582e+02 -3.451712e+02 0 1
gi_re_1997_03_22_193_f 759 3 41 1 12 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 1356 15-Apr-2019 16:51:25 -1.788645e+02 2.152288e+02 1 0
gi_re_1997_03_22_193_f 759 3 42 1 52 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 766 15-Apr-2019 16:51:29 -3.272121e+02 5.903185e+01 1 0
gi_re_1997_03_22_193_f 759 3 43 1 25 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 749 15-Apr-2019 16:51:32 5.755867e+01 3.178816e+02 1 0
gi_re_1997_03_22_193_f 759 3 44 1 58 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 1358 15-Apr-2019 16:51:53 3.114920e+02 -1.169995e-01 1 1
gi_re_1997_03_22_193_f 759 3 45 1 24 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 1353 15-Apr-2019 16:51:57 -1.465435e+02 1.959176e+02 0 0
gi_re_1997_03_22_193_f 759 3 46 1 66 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 685 15-Apr-2019 16:52:00 4.461680e+02 -3.144257e+02 1 0
gi_re_1997_03_22_193_f 759 3 47 1 7 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 945 15-Apr-2019 16:52:03 4.910380e+02 1.290709e+02 1 0
