subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
se_ro_1997_03_29_108_f 837 3 1 1 66 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 682 24-Apr-2019 16:31:48 -1.367026e+01 2.859451e+01 1 1
se_ro_1997_03_29_108_f 837 3 2 1 44 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 474 24-Apr-2019 16:31:51 2.875973e+00 -2.045227e+02 1 0
se_ro_1997_03_29_108_f 837 3 3 1 17 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 549 24-Apr-2019 16:31:53 -3.568750e+02 -1.958360e+01 1 0
se_ro_1997_03_29_108_f 837 3 4 1 64 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 646 24-Apr-2019 16:32:14 3.515152e+02 4.462402e+02 0 1
se_ro_1997_03_29_108_f 837 3 5 1 32 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 533 24-Apr-2019 16:32:17 4.101551e+01 -2.634752e+02 0 0
se_ro_1997_03_29_108_f 837 3 6 1 28 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 585 24-Apr-2019 16:32:20 2.044206e+02 -3.674276e+02 1 0
se_ro_1997_03_29_108_f 837 3 7 1 54 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 652 24-Apr-2019 16:32:23 1.250990e+02 -4.257004e+01 0 0
se_ro_1997_03_29_108_f 837 3 8 1 37 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 616 24-Apr-2019 16:32:40 3.853020e+02 -3.440920e+02 0 1
se_ro_1997_03_29_108_f 837 3 9 1 18 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 632 24-Apr-2019 16:32:43 2.222025e+02 8.245000e+01 1 0
se_ro_1997_03_29_108_f 837 3 10 1 38 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 543 24-Apr-2019 16:32:46 4.685617e+02 -3.034006e+02 0 0
