subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
al_pa_ 1999_06_01_605_f 926 3 1 1 14 45 -45 NORESP 0 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 2999 16-May-2019 09:31:03 3.311303e+02 -1.801517e+02 0 1
al_pa_ 1999_06_01_605_f 926 3 2 1 34 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 1681 16-May-2019 09:31:07 -3.082095e+02 4.592375e+02 1 0
al_pa_ 1999_06_01_605_f 926 3 3 1 23 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 1639 16-May-2019 09:31:11 2.190429e+02 4.512663e+02 0 0
al_pa_ 1999_06_01_605_f 926 3 4 1 70 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 1726 16-May-2019 09:31:34 -3.960394e+02 -2.808635e+02 0 1
al_pa_ 1999_06_01_605_f 926 3 5 1 36 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 1162 16-May-2019 09:31:37 -5.882194e+01 3.928522e+02 1 0
al_pa_ 1999_06_01_605_f 926 3 6 1 45 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 924 16-May-2019 09:31:41 -5.047232e+01 6.601796e+01 0 0
al_pa_ 1999_06_01_605_f 926 3 7 1 7 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 1284 16-May-2019 09:31:44 -4.560461e+02 -2.719585e+02 1 0
al_pa_ 1999_06_01_605_f 926 3 8 1 18 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 2136 16-May-2019 09:32:04 3.899206e+02 -2.584362e+01 1 1
al_pa_ 1999_06_01_605_f 926 3 9 1 56 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 970 16-May-2019 09:32:07 3.828696e+02 -2.920771e+02 0 0
al_pa_ 1999_06_01_605_f 926 3 10 1 8 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 823 16-May-2019 09:32:11 1.651326e+02 2.309930e+02 1 0
al_pa_ 1999_06_01_605_f 926 3 11 1 22 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 1003 16-May-2019 09:32:14 4.818788e+02 -1.814927e+02 0 0
al_pa_ 1999_06_01_605_f 926 3 12 1 59 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 1681 16-May-2019 09:32:36 2.555102e+02 -4.975405e+02 1 1
al_pa_ 1999_06_01_605_f 926 3 13 1 72 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 821 16-May-2019 09:32:39 4.464567e+02 8.359222e+01 0 0
al_pa_ 1999_06_01_605_f 926 3 14 1 5 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 702 16-May-2019 09:32:42 1.483199e+02 5.217339e+01 1 0
al_pa_ 1999_06_01_605_f 926 3 15 1 54 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 878 16-May-2019 09:32:46 -2.035367e+02 -4.748965e+02 0 0
al_pa_ 1999_06_01_605_f 926 3 16 1 6 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 1635 16-May-2019 09:33:11 4.573760e+02 -2.770308e+02 1 1
al_pa_ 1999_06_01_605_f 926 3 17 1 60 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 1080 16-May-2019 09:33:15 2.123803e+02 -1.174770e+02 1 0
al_pa_ 1999_06_01_605_f 926 3 18 1 4 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 819 16-May-2019 09:33:18 1.745435e+02 4.048773e+02 1 0
al_pa_ 1999_06_01_605_f 926 3 19 1 55 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 779 16-May-2019 09:33:21 -2.935795e+02 2.106339e+01 0 0
al_pa_ 1999_06_01_605_f 926 3 20 1 68 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 1485 16-May-2019 09:33:44 -3.810941e+02 1.451139e+02 1 1
al_pa_ 1999_06_01_605_f 926 3 21 1 13 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_noeffect.mov 1200 16-May-2019 09:33:47 -4.445701e+02 -3.540703e+02 0 0
